order_id,customer_state,customer_city,order_status,order_purchase_timestamp,product_category,seller_state,price,freight_value,price_with_freight,payment_type,payment_value,review_score,delivery_days,is_delivered,is_cancelled
dbe2d1c6c34f5c31bb6736e1720c9b7e,SP,sao paulo,canceled,2018-08-28 12:45:15,,,,,,voucher,34.83,1.0,,False,True
caf12c43defcd1c679e73f2398192965,SP,sao paulo,canceled,2018-07-02 17:00:50,computers_accessories,SP,67.42,7.73,75.15,credit_card,75.15,4.0,,False,True
90ff3cffbad0c03e76cdb32a788a649e,GO,goiania,canceled,2017-02-20 11:29:19,perfumery,SP,16.9,17.78,34.68,boleto,34.68,1.0,,False,True
af07804a2d53e8639954baf97fbf803a,SP,guarulhos,canceled,2018-04-19 13:46:42,cool_stuff,SP,176.99,17.21,194.2,voucher,194.2,1.0,,False,True
54ee4ac3ad09faa2237f8a844b4d7b92,SP,embu das artes,canceled,2018-08-16 19:28:02,toys,SP,376.9,9.9,386.8,credit_card,386.8,1.0,,False,True
ab76f54a321a0431ef243b3b6865078b,SP,sao caetano do sul,canceled,2018-02-04 12:25:42,stationery,SP,179.0,10.07,189.07,credit_card,189.07,1.0,,False,True
1857e77a4bad8abb2db929f107430663,SP,jundiai,canceled,2017-08-31 23:55:57,,,,,,voucher,219.87,5.0,,False,True
d1f4276166cee5a37d01beb15e2426fc,SP,sao paulo,canceled,2018-02-26 06:37:45,electronics,SP,15.9,8.72,24.62,boleto,24.62,2.0,,False,True
129ea9ae4b85283decb23ea1756f505d,RJ,rio de janeiro,canceled,2018-08-09 08:09:33,,,,,,voucher,58.98,5.0,,False,True
2aaab7e991347226dbda1f61c6785f88,SP,vinhedo,canceled,2018-07-25 13:57:52,baby,SP,49.95,36.95,86.9,credit_card,86.9,1.0,,False,True
a31ecde4565b9e5e70a4ac17fb47174c,SP,ribeirao preto,canceled,2018-01-29 21:55:59,baby,SP,26.8,12.69,39.49,boleto,39.49,1.0,,False,True
38a86eb53c2309d6234fc9bad96331ac,PR,curitiba,canceled,2018-08-18 12:39:31,,,,,,voucher,412.64,1.0,,False,True
709e43f97cb2a47fa749503419163710,BA,guanambi,canceled,2017-04-26 21:43:55,sports_leisure,SP,399.76,33.83,433.59,credit_card,433.59,2.0,,False,True
2701d162dabcb83a27f19ae30e8fea47,PE,jaboatao dos guararapes,canceled,2017-03-12 21:28:55,auto,SP,115.99,25.3,141.29,credit_card,141.29,1.0,,False,True
66cb680674721f9816e366a15a93633f,MG,curvelo,canceled,2017-03-28 20:53:24,,,,,,credit_card,211.91,1.0,,False,True
3388fa275fc1b344e275af704e8d3156,SP,sao paulo,canceled,2017-12-11 09:25:26,garden_tools,MG,285.0,58.9,343.9,credit_card,343.9,1.0,,False,True
3a129877493c8189c59c60eb71d97c29,PR,maringa,canceled,2018-01-25 13:34:24,sports_leisure,SP,35.9,15.1,51.0,voucher,51.0,1.0,,False,True
cadd4c5765abf658117f2cc7e2a639c2,SP,santo andre,canceled,2018-08-10 21:20:04,housewares,SP,119.0,11.85,130.85,credit_card,130.85,5.0,,False,True
